,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
1401,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SAD321,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.9449945   51.1275651]
1402,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ROC191,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.25212737   51.15284785]
1403,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,2021/11/22: AT CCC SEE IF STEWARD = WATER RESOURCES,ALP001,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.14127226   50.92022928]
1404,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PIN036,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.95684193   51.07085315]
1405,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SGH016,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.15603302   51.17844563]
1406,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SOW217,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08504681   50.95423602]
1407,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SOW218,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08711187   50.95408217]
1408,FFCA SOUTHWOOD ELEM CAMPUS,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SOW226,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.0823648    50.95792631]
1409,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SHN601,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08468403   50.90425258]
1410,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ROC404,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.24526233   51.14365853]
1411,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,WAL100,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.01929142   50.87798239]
1412,,LINEAR PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,WAL020,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02549639   50.86442946]
1413,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ARB012,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.21403341   51.1298235 ]
1414,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SIG737,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.16912615   51.02602703]
1415,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SPH985,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19037161   51.03281595]
1416,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SIG745,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.18178625   51.01771077]
1417,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,TEM048,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.93815881   51.08348284]
1418,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,TEM050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.937152     51.08538038]
1419,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,TEM057,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.94761876   51.09405808]
1420,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,TEM059,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.95746767   51.09291954]
1421,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,TEM056,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.93686778   51.09432053]
1422,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PKL653,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.02693046   50.92413015]
