,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
59,217,#1 139 24 AV NE,2018-04-02,2018,2020-03-19,2020,Apartment,SUPERIOR DRAFTING & DESIGN,SUPERIOR DRAFTING & DESIGN,0,4,764100,TUXEDO PARK,TUX,498500,2023000,1524500,70500.0,"[-114.0603696, 51.07407011]",,,"191,025.00",,,3.359905461455853
60,73,2123 12 ST NW,2019-08-06,2019,2020-09-29,2020,Unspecified,CALTON DEVELOPMENTS,CALTON DEVELOPMENTS,CALTON DEVELOPMENTS,4,683071,CAPITOL HILL,CAP,565500,2102500,1537000,71500.0,"[-114.0899677, 51.07106067]",,,"170,767.75",,,3.1886923426877147
61,122,1940 32 ST SW,2017-08-30,2017,2018-07-30,2018,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,4,761397,KILLARNEY/GLENGARRY,KIL,745000,2285000,1540000,87000.0,"[-114.1335408, 51.03636363]",,,"190,349.25",,,4.410180554072624
62,151,#1 2222 24A ST SW,2018-08-29,2018,2019-07-02,2019,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,3,700000,RICHMOND,RIC,325500,1866500,1541000,95000.0,"[-114.1191706, 51.03401936]",,,"233,333.33",,,3.514325031156104
63,193,1105 4 ST NE,2020-01-30,2020,2021-09-03,2021,Unspecified,CASABELLA ENTERPRISES 2012,CASABELLA ENTERPRISES 2012,CASABELLA ENTERPRISES 2012,4,935423,RENFREW,REN,584500,2138000,1553500,71500.0,"[-114.0534469, 51.06162591]",,,"233,855.75",,,2.277929196741189
64,93,516 32 ST NW,2019-07-08,2019,2022-04-04,2022,Unspecified,GOLDMARK HOMES,GOLDMARK HOMES,0,5,1308400,PARKDALE,PKD,2019500,3576000,1556500,93000.0,"[-114.1332092, 51.05727863]",,,"261,680.00",,,4.507989918956813
65,179,2109 17 ST NW,2019-07-10,2019,2020-08-14,2020,Apartment,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,4,802300,CAPITOL HILL,CAP,494500,2062500,1568000,71500.0,"[-114.1022734, 51.07077637]",,,"200,575.00",,,3.591301705026345
66,156,#1 505 6 ST NE,2017-10-12,2017,2020-09-29,2020,Townhouse,KRIEHL DESIGN,KRIEHL DESIGN,0,12,2166210,BRIDGELAND/RIVERSIDE,BRD,1350000,2920000,1570000,65500.0,"[-114.0485216, 51.0563511]",,,"180,517.50",,,2.0822062769103895
67,129,#2 2412 24A ST SW,2020-06-22,2020,2021-03-08,2021,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1288048,RICHMOND,RIC,486000,2063000,1577000,95000.0,"[-114.1191665, 51.03270236]",,,"322,012.00",,,3.5664075937778965
68,127,1521 20 AV NW,2019-11-28,2019,2020-11-10,2020,Unspecified,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,7,1091265,CAPITOL HILL,CAP,937500,2530000,1592500,71500.0,"[-114.0960314, 51.07041308]",,,"155,895.00",,,3.316965566208878
